Time,1mRNAc(),mRNAc()
0,0,0
28.09438245,0,0
56.177284,0,0
84.208363,0,0
112.2618549,0,0
140.3593396,0,0
168.4178168,0,0
196.4527649,0,0
224.4584714,0,0
252.4627674,0,0
280.5104105,0,0
308.5333335,0,0
336.535111,0,0
364.5516017,0,0
392.5519527,0,0
420.5825219,0,0
448.5846115,0,0
476.5917898,0,0
504.6059293,0,0
532.6085226,0,0
560.6162794,0,0
588.6265715,0,0
616.630772,0,0
644.6321887,0,0
672.6340787,0,0
700.6364808,0,0
728.6395381,0,0
756.645904,0,0
784.6528131,0,0
812.653982,0,0
840.6592861,0,0
868.6602186,0,0
896.6620511,0,0
924.6650863,0,1
952.6670248,0,1
980.6686413,0,1
1008.672106,0,2
1036.672766,0,2
1064.674121,0,2
1092.675055,0,2
1120.67522,0,3
1148.678077,0,5
1176.679883,0,5
1204.679966,0,5
1232.680267,1,5
1260.680504,1,4
1288.681164,2,5
1316.682353,2,5
1344.683929,3,5
1372.686039,4,5
1400.686156,4,5
1428.689255,4,5
1456.689916,5,5
1484.691095,5,5
1512.694772,5,8
1540.70124,5,7
1568.702198,8,9
1596.710388,9,9
1624.710578,8,9
1652.710818,8,10
1680.712232,9,11
1708.713864,9,12
1736.714428,10,11
1764.714671,10,11
1792.71477,10,11
1820.71506,11,13
1848.716211,11,13
1876.716273,11,15
1904.716627,11,15
1932.720952,11,17
1960.721505,11,17
1988.721949,12,16
2016.724803,12,15
2044.724929,13,15
2072.726451,13,14
2100.734536,16,16
2128.735228,16,16
2156.735475,16,17
2184.736975,17,20
2212.737635,17,21
2240.740392,18,21
2268.740632,18,23
2296.740753,20,24
2324.742256,22,24
2352.747909,22,24
2380.748184,22,25
2408.748597,23,26
2436.749775,24,26
2464.750378,25,26
2492.750764,25,29
2520.751202,27,29
2548.756184,29,30
2576.761483,30,32
2604.76151,30,33
2632.76188,31,33
2660.761988,31,35
2688.763324,34,36
2716.765537,34,38
2744.765733,35,38
2772.766074,36,37
2800.767731,36,37
2828.767908,36,37
2856.768424,37,36
2884.769632,41,42
2912.769948,44,43
2940.770268,46,44
2968.770327,49,43
2996.771674,50,44
3024.77237,52,43
3052.775108,54,43
3080.775586,55,44
3108.776677,58,44
3136.781822,57,44
3164.786014,58,49
3192.788008,59,52
3220.789321,58,52
3248.791475,62,55
3276.793792,65,57
3304.79654,66,58
3332.797362,67,60
3360.802283,69,61
3388.802524,69,60
3416.802577,72,60
3444.802676,75,57
3472.807408,74,55
3500.808205,71,55
3528.808454,69,56
3556.81181,70,57
3584.814558,67,56
3612.816179,69,57
3640.817279,68,57
3668.818716,69,59
3696.820124,70,58
3724.821883,69,57
3752.822377,70,60
3780.823513,71,61
3808.823968,73,61
3836.825547,75,60
3864.830606,76,60
3892.830615,76,60
3920.831652,79,59
3948.833232,78,61
3976.83863,78,66
4004.843323,79,66
4032.846744,80,68
4060.849486,82,69
4088.849675,84,69
4116.851358,83,69
4144.852674,83,69
4172.85395,81,70
4200.854967,84,70
4228.855474,83,69
4256.856535,84,68
4284.858294,86,70
4312.862881,83,71
4340.863841,84,71
4368.865775,83,72
4396.869333,83,72
4424.870544,85,75
4452.870764,84,76
4480.872221,81,74
4508.874717,82,74
4536.875655,82,77
4564.880678,82,78
4592.883747,80,78
4620.895728,78,81
4648.902341,76,83
4676.903074,76,82
4704.906219,77,84
4732.907084,77,85
4760.907111,77,85
4788.90803,78,86
4816.908155,79,85
4844.911129,77,85
4872.912662,76,87
4900.914803,75,87
4928.917534,76,85
4956.919347,76,86
4984.92091,78,86
5012.924219,77,87
5040.924416,77,88
5068.924587,80,89
5096.924757,80,87
5124.925968,82,86
5152.926129,81,86
5180.928403,80,85
5208.934109,83,84
5236.934972,82,83
5264.936127,82,82
5292.937524,83,82
5320.942053,84,82
5348.943595,85,82
5376.945795,85,82
5404.94809,83,82
5432.950168,84,80
5460.951053,82,80
5488.951945,83,77
5516.957312,83,79
5544.959119,81,79
5572.963747,80,78
5600.964556,80,76
5628.966431,79,77
5656.967427,78,77
5684.971392,76,77
5712.974646,76,74
5740.975237,77,73
5768.978996,77,73
5796.979149,75,72
5824.981393,74,74
5852.98147,73,73
5880.985452,72,73
5908.987097,74,73
5936.989114,76,72
5964.989749,77,72
5992.991398,76,72
6020.992904,77,72
6048.997303,77,72
6076.997883,77,75
6105.000353,77,76
6133.001647,76,75
6161.009153,77,75
6189.00985,79,76
6217.013758,77,75
6245.014255,75,75
6273.016642,75,73
6301.021177,74,71
6329.023044,72,72
6357.025523,72,72
6385.027273,72,72
6413.032945,73,72
6441.034257,73,71
6469.039405,72,71
6497.042762,69,70
6525.044973,67,68
6553.046589,68,67
6581.049366,69,65
6609.049376,72,64
6637.055152,71,66
6665.057683,73,65
6693.059911,73,65
6721.05998,75,63
6749.064546,75,66
6777.070746,75,65
6805.072158,77,67
6833.07288,76,65
6861.07801,76,68
6889.079566,74,68
6917.080956,72,67
6945.085677,72,68
6973.088725,70,65
7001.089455,71,64
7029.094129,70,62
7057.096597,69,62
7085.101912,69,63
7113.106574,70,63
7141.109808,70,63
7169.113252,70,63
7197.114105,68,62
7225.115349,68,58
7253.117707,67,57
7281.123929,67,60
7309.125618,65,60
7337.128083,64,61
7365.137176,64,61
7393.13922,66,61
7421.141571,67,62
7449.143641,66,63
7477.154089,66,62
7505.168025,66,62
7533.169025,64,62
7561.176199,64,61
7589.178054,64,61
7617.181668,64,60
7645.183511,65,59
7673.1842,65,59
7701.199758,64,60
7729.201817,64,59
7757.207652,63,58
7785.208145,63,58
7813.210321,63,58
7841.216365,62,58
7869.222424,61,59
7897.229187,61,58
7925.240019,62,58
7953.241459,62,58
7981.245183,61,58
8009.25371,61,58
8037.254034,59,58
8065.257424,59,57
8093.264408,57,56
8121.265769,56,57
8149.267311,56,54
8177.270192,57,54
8205.278739,56,53
8233.278826,57,53
8261.291938,57,55
8289.296181,57,54
8317.29685,56,53
8345.30038,56,53
8373.32101,54,52
8401.321761,55,51
8429.322287,53,50
8457.323951,53,46
8485.324628,52,46
8513.326141,53,47
8541.330098,53,45
8569.335383,53,46
8597.336765,52,44
8625.356672,52,43
8653.360869,51,43
8681.362598,51,43
8709.36888,51,42
8737.37291,51,43
8765.375327,51,44
8793.377443,50,44
8821.380596,49,44
8849.382471,49,43
8877.393571,48,43
8905.39831,49,43
8933.402032,50,44
8961.402776,50,44
8989.410682,50,44
9017.413999,50,44
9045.420215,50,44
9073.423956,50,43
9101.440139,50,43
9129.441316,49,44
9157.445658,50,43
9185.451133,48,43
9213.451544,48,43
9241.457999,48,43
9269.463428,48,42
9297.464213,45,41
9325.466308,45,39
9353.470833,45,37
9381.471946,45,37
9409.48613,45,38
9437.499708,46,38
9465.50174,46,38
9493.511488,44,38
9521.519159,46,37
9549.525859,45,36
9577.551388,45,36
9605.551885,45,36
9633.553205,46,37
9661.563689,45,36
9689.566779,44,38
9717.568173,43,38
9745.580047,43,38
9773.589598,43,38
9801.605346,43,38
9829.60933,43,37
9857.61935,43,38
9885.625326,43,38
9913.626906,44,38
9941.631195,42,37
9969.636251,40,38
9997.670521,38,38
10025.67318,38,37
10053.67394,38,36
10081.67851,38,36
10109.67938,38,34
10137.68338,37,34
10165.68421,38,34
10193.6856,38,33
10221.6908,38,31
10249.69166,38,31
10277.7025,38,29
10305.71028,39,30
10333.71249,38,30
10361.71619,39,30
10389.73289,40,30
10417.74267,40,30
10445.74306,40,30
10473.74524,40,30
10501.75292,40,31
10529.76846,40,31
10557.77751,40,31
10585.77798,40,30
10613.78956,39,30
10641.78991,39,30
10669.79274,39,30
10697.79393,40,30
10725.79843,39,30
10753.80142,39,30
10781.80274,38,30
10809.80673,36,31
10837.80739,37,31
10865.83263,38,31
10893.83454,38,31
10921.83528,38,31
10949.84556,38,31
10977.87268,38,30
11005.87627,38,30
11033.89042,38,29
11061.89056,36,30
11089.89498,36,30
11117.9007,35,30
11145.90483,35,30
11173.90717,34,30
11201.90909,34,30
11229.9201,33,29
11257.92697,30,29
11285.92837,28,28
11313.94383,28,28
11341.9457,28,28
11369.95085,28,27
11397.95229,26,27
11425.96908,25,26
11453.97193,24,26
11481.97212,23,26
11509.97893,23,25
11537.98805,22,25
11565.99397,22,25
11593.99851,22,23
11622.00583,22,23
11650.03673,20,23
11678.03952,22,23
11706.04576,22,23
11734.06242,23,23
11762.06258,21,23
11790.06791,21,23
11818.06952,21,22
11846.07429,21,22
11874.08591,21,22
11902.10833,21,21
